time,seconds_elapsed,rssi,id,advertisement,manufacturerData,serviceData
1780766609124000000,5.091,-92,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766609135000000,5.102,-68,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766609172000000,5.139,-69,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766609203000000,5.17,-95,17456af3-1abc-b70d-4363-2579d4c23609,,6cd17a8169c9,
1780766609297000000,5.264,-70,c2b4671c-7407-ff10-25ac-3228f29e0d10,,,
1780766609649000000,5.616,-68,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766609665000000,5.632,-71,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766610050000000,6.016999755859375,-69,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766610230000000,6.197000244140625,-88,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766610252000000,6.219,-78,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766610280000000,6.247,-74,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766610328000000,6.295,-83,20db88a6-fecb-2a60-8df3-b6c885227e9a,,,
1780766610815000000,6.782,-70,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
1780766610934000000,6.901000244140625,-71,ed520cc5-283c-6189-ef60-5650a352ee3a,,,fcf1:045d4150f20296eef2dd4c5f3e35a461e102aaab3317
1780766610937000000,6.904,-90,e2e4ef5d-954f-eafb-420b-b785beaee4fc,,,fef3:4a17234e4b4f46113242c01c956bbddbc8d191360892a275991fab
1780766611166000000,7.133000244140625,-74,11695c04-1dc1-4df4-2059-10a3322bb6a3,,,
1780766611302000000,7.269000244140625,-77,c2b4671c-7407-ff10-25ac-3228f29e0d10,,,
1780766611324000000,7.291,-93,dda40c67-fdce-059a-430a-41ba50e8bf8c,,7500021861b10a65000a5cb94a19a61fc39ba591c2efefb4ada7053ec1c362ae77,
1780766611375000000,7.342,-71,536ef24e-38ea-8250-d9f9-e71f305c8171,,,
1780766611419000000,7.386,-64,c341a55c-66ff-5bde-cd27-c4af02b09dca,,99040510ef52fdbd81002c000404009cf6a3b57fd4155c775668,
1780766611425000000,7.392,-69,32cd4dcd-9aa7-aa0e-0e61-75bc433ab329,,,fcf1:0410c0eb4dec91474b98354140282ecf8ef5f38dff
1780766611917000000,7.884,-69,bbecda05-75f6-b645-58e6-abeedd1fda75,,,
